,definition,order,prop,frequency,category,lexical_category,syllables
1,mamma,1,0.6086021505,1.452147805,,,mam ma
2,pappa,2,0.5569892473,1.049863616,,,pap pa
3,tack,3,0.4752688172,0.2884671991,,,tak
4,vov vov,4,0.4602150538,0,,,vaɵ vaɵ
5,hej,5,0.3870967742,0.349300418,,,hɛj
6,tittut,6,0.3505376344,0.04513432367,,,tɪtː ʉːt
7,brrr,7,0.3419354839,0.003924723798,,,brrr
8,mjau,8,0.3161290323,0.007849447595,,,mjaɵ
9,lampa,9,0.3010752688,0.06672030456,,,lam pa
10,nej,10,0.2946236559,0.1432524186,,,nɛj
11,mu,11,0.2774193548,0.09811809494,,,mʉː
12,titta,12,0.2731182796,2.527522126,,,tɪt ta
13,hej då,13,0.2602150538,0,,,hɛj dɔ
14,bä bä,14,0.2387096774,0,,,bæː bæː
15,ja,15,0.2322580645,11.42094625,,,jɑː
16,klocka,16,0.2258064516,0.05298377127,,,klɔk ka
17,hund,17,0.2107526882,0.4474185129,,,hɵnd
18,blomma,18.5,0.2043010753,0.1668007614,,,blɵm ma
19,kaka,18.5,0.2043010753,0.1726878471,,,kɑː ka
20,bil,20,0.1892473118,1.114621559,,,biːl
21,nam nam,21,0.1677419355,0,,,nam nam
22,där,22.5,0.1634408602,0,,,dæːr
23,katt,22.5,0.1634408602,0.445456151,,,katː
24,boll,24,0.1591397849,0.213897447,,,bɔl:
25,kvack kvack,25,0.1483870968,0,,,kvak kvak
26,bada,26.5,0.1462365591,0.4376067034,,,bɑː da
27,docka,26.5,0.1462365591,0.5023646461,,,dɔk ka
28,kisse,28.5,0.135483871,0.1609136757,,,kɪs sɛ
29,nalle,28.5,0.135483871,0.2551070468,,,nal lɛ
30,banan,30.5,0.1247311828,0.04317196177,,,ba nɑːn
31,mormor,30.5,0.1247311828,0.7260739025,,,mɵr mɵr
32,sko,32,0.1204301075,0.06868266646,,,skʉː
33,häst,33,0.1139784946,0,,,hɛst
34,grrr,34.5,0.111827957,0,,,grrr
35,vatten,34.5,0.111827957,0.1962361899,,,vat tɛn
36,sch /hysch,36,0.1096774194,0,,,hʏɕ
37,barnets eget namn,37,0.1075268817,0,,,-
38,traktor,38,0.1053763441,0.3316391609,,,trak tɔr
39,gunga,39,0.1010752688,0.1295158853,,,gɵŋ ŋa
40,fågel,40.5,0.09892473118,0,,,foː gɛl
41,kuckeliku,40.5,0.09892473118,0.005887085696,,,kɵk kɛ lɪ kʉː
42,glass,42,0.09677419355,0.2688435801,,,glas:
43,apa,43.5,0.09032258065,0.06868266646,,,ɑː pa
44,blöja,43.5,0.09032258065,0,,,blœɪ ja
45,baby,45.5,0.08602150538,0.01373653329,,,bɛɪ bɪ
46,ko,45.5,0.08602150538,0.06475794266,,,kʉː
47,knapp,48,0.08172043011,0.02943542848,,,knap:
48,mat,48,0.08172043011,0.5592731412,,,mɑːt
49,äta,48,0.08172043011,0,,,eː ta
50,god natt,51,0.07956989247,0,,,gɵd nat:
51,morfar,51,0.07956989247,0.2315587041,,,mɵr far
52,äpple,51,0.07956989247,0,,,ep lɛ
53,anka,54,0.07741935484,0.07456975215,,,ank ka
54,farfar,54,0.07741935484,0.3120155419,,,far far
55,näsa,54,0.07741935484,0,,,neː sa
56,farmor,56,0.0752688172,0.5926332934,,,far mɵr
57,bok,57.5,0.07096774194,0.3905100179,,,bʉːk
58,macka,57.5,0.07096774194,0.01766125709,,,mak ka
59,gris,59,0.0688172043,0.1432524186,,,griːs
60,mössa,60,0.06666666667,0,,,mœs sa
61,ballong,62,0.06451612903,0.03924723798,,,bal lɔŋ
62,kex,62,0.06451612903,0.03532251418,,,kɛks
63,tuff tuff,62,0.06451612903,0,,,tɵf: tɵf:
64,den,65.5,0.0623655914,8.832590906,,,dɛn
65,ost,65.5,0.0623655914,0.05887085696,,,ɵst
66,socka,65.5,0.0623655914,0.01569889519,,,sɔk ka
67,öga,65.5,0.0623655914,0,,,øː ga
68,buss,69.5,0.06021505376,0.2119350851,,,bɵs:
69,jacka,69.5,0.06021505376,0.04120959987,,,jak ka
70,mun,69.5,0.06021505376,0.04709668557,,,mɵn:
71,vill /vill ha,69.5,0.06021505376,0,,,vɪl:
72,flaska,73,0.05591397849,0.003924723798,,,flas ka
73,inte,73,0.05591397849,5.227732098,,,ɪn tɛ
74,mer,73,0.05591397849,0.678977217,,,meːr
75,björn,76.5,0.05376344086,0,,,bjɶːrn
76,fot,76.5,0.05376344086,0.05494613317,,,fʉːt
77,hoppa,76.5,0.05376344086,0.4199454463,,,hɔp pa
78,ut,76.5,0.05376344086,1.159755882,,,ʉːt
79,får,79.5,0.05161290323,0,,,foːr
80,pussa,79.5,0.05161290323,0.04513432367,,,pɵs sa
81,borta,83,0.04946236559,0.5788967601,,,bɔʈ ta
