,measure,language,uni_lemma,definition,prop,order,frequency,phones,category,lexical_category,syllables
1,produces,English,daddy,daddy*,0.681291391,1,0.491147915,4,people,other,d& di
2,produces,English,mommy,mommy*,0.674254967,2,0.556253569,2,people,other,mA mi
3,produces,English,bye,bye,0.548427152,3,0.275842376,2,games_routines,other,baI
4,produces,English,uh oh,uh oh,0.513245033,4,1.079954312,2,sounds,other,V oU
5,produces,English,hi,hi,0.484271523,5,1.2307253,2,games_routines,other,haI
6,produces,English,ball,ball,0.474337748,6,1.689320388,3,toys,nouns,bOl
7,produces,English,dog,dog,0.425496689,7,0.673329526,3,animals,nouns,dOg
8,produces,English,no,no,0.406043046,8,9.871501999,2,games_routines,other,noU
9,produces,English,woof woof,woof woof,0.39031457,9,0.030268418,3,sounds,other,wuf wuf
10,produces,English,yum yum,yum yum,0.373758278,10,0.073101085,3,sounds,other,jUm jUm
11,produces,English,grrr,grrr,0.358443709,11,NA,NA,sounds,other,g@r
12,produces,English,baa baa,baa baa,0.354304636,12,0.011422045,2,sounds,other,bA bA
13,produces,English,baby,baby,0.345198675,13,2.820102798,4,people,other,beI bi
14,produces,English,vroom,vroom,0.324917219,14,0.019417476,4,sounds,other,vrum
15,produces,English,book,book,0.312086093,15,2.202170188,3,toys,nouns,bUk
16,produces,English,bottle,bottle,0.308774834,16,0.333523701,4,household,nouns,bA t@l
17,produces,English,moo,moo,0.299254967,17,0.225014278,2,sounds,other,mu
18,produces,English,banana,banana,0.295943709,18,0.143917761,6,food_drink,nouns,b@ 'n& n@
19,produces,English,duck,duck,0.284354305,19.5,0.592804112,3,animals,nouns,dVk
20,produces,English,meow,meow,0.284354305,19.5,0.165048544,3,sounds,other,mi 'aU
21,produces,English,balloon,balloon,0.277731788,21,0.138206739,5,toys,nouns,b@ 'lun
22,produces,English,kitty,kitty,0.277317881,22,1.183894917,4,animals,nouns,kI ti
23,produces,English,bird,bird,0.270695364,23,0.434037693,3,animals,nouns,b3rd
24,produces,English,shoe,shoe,0.263245033,24,0.275271274,2,clothing,nouns,Su
25,produces,English,quack quack,quack quack,0.262417219,25,0.068532267,4,sounds,other,kw&k kw&k
26,produces,English,cat,cat,0.260347682,26,0.555682467,3,animals,nouns,k&t
27,produces,English,juice,juice,0.25,27,0.595659623,3,food_drink,nouns,dZus
28,produces,English,grandma,grandma*,0.237168874,28,0.059965734,6,people,other,gr& mA
29,produces,English,ouch,ouch,0.233857616,29,0.104511708,3,sounds,other,aUtS
30,produces,English,hot,hot,0.232615894,30,0.427755568,3,descriptive_words,predicates,hAt
31,produces,English,eye,eye,0.229304636,31,0.238720731,1,body_parts,nouns,aI
32,produces,English,thank you,thank you,0.228890728,32,0.111364934,6,games_routines,other,T&Nk ju
33,produces,English,bath,bath,0.206539735,33,0.214734437,3,games_routines,other,b&T
34,produces,English,cookie,cookie,0.204470199,34,0.316961736,4,food_drink,nouns,kU ki
35,produces,English,nose,nose,0.199089404,35,0.802969732,3,body_parts,nouns,noUz
36,produces,English,cheese,cheese,0.195778146,36,0.336950314,4,food_drink,nouns,tSiz
